,node_num,edge_num,max_degree,conv1_in_channels,conv1_out_channels,conv2_in_channels,conv2_out_channels,conv1_agg_time,conv1_map_time,conv2_agg_time,conv2_map_time
0,2815,85520,474,50,256,256,121,561197.5431442261,1159.0242385864258,182700.92010498047,2566.5760040283203
0,2401,64218,404,50,256,256,121,351590.08502960205,765.0852203369141,121021.77143096924,2232.8853607177734
0,2488,70390,431,50,256,256,121,451188.92192840576,858.4737777709961,141989.44568634033,2396.988868713379
0,2263,59644,381,50,256,256,121,357474.1840362549,694.2987442016602,108155.44128417969,2222.585678100586
0,3480,106754,587,50,256,256,121,715488.2907867432,1102.1852493286133,233283.28132629395,2937.912940979004
0,1823,44330,325,50,256,256,121,258742.11788177493,607.1329116821289,68147.73082733154,1924.276351928711
0,1767,32318,286,50,256,256,121,162335.8964920044,563.4546279907227,40975.80909729004,1995.968818664551
0,591,7708,112,50,256,256,121,23996.400833129883,225.75855255126953,4287.290573120117,410.60447692871094
0,2794,85318,474,50,256,256,121,482901.0248184204,857.6393127441406,176288.41400146484,2487.2541427612305
0,1578,36162,291,50,256,256,121,181539.39247131348,495.6960678100586,47959.68532562256,1802.229881286621
0,1021,18216,201,50,256,256,121,67939.49604034424,339.8418426513672,18058.323860168457,1067.185401916504
0,2339,65430,398,50,256,256,121,422861.31381988525,718.0929183959961,121851.0627746582,2388.787269592285
0,2650,77064,491,50,256,256,121,458515.3818130493,806.3554763793945,156688.5232925415,2452.3258209228516
0,3021,91338,506,50,256,256,121,524699.0203857422,991.8689727783203,195265.793800354,2661.1804962158203
0,1878,46268,335,50,256,256,121,253888.53549957275,608.9210510253906,71253.29971313477,2122.163772583008
0,1377,29704,280,50,256,256,121,149303.36475372314,462.26978302001953,36167.240142822266,1764.2974853515625
0,2326,59862,402,50,256,256,121,335439.51511383057,732.3265075683594,108830.52349090576,2293.4436798095703
0,3163,94158,522,50,256,256,121,627704.2627334595,984.8356246948242,200401.8783569336,2812.8862380981445
0,3312,106198,720,50,256,256,121,705060.8158111572,1022.8633880615234,232593.0118560791,3033.3995819091797
0,1819,45768,325,50,256,256,121,222941.85161590576,596.308708190918,77950.07228851318,1982.9511642456055
